minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,0.289915711,4.300000191,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,3.700000048,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,3.599999905,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.289915711,4.400000095,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-0.737732172,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-0.737732172,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-0.737732172,2.099999905,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-0.571983576,3.700000048,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-0.571983576,3.200000048,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-0.677963376,4.300000191,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.099999905,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.599999905,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,3.799999952,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376,4.199999809,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,3.900000095,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.5,upper,yes,yes,38,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.5,upper,yes,yes,40,45,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,52,59,5,0,0,1,0,1,1,1
no,31,female,more,1.509793997,4.400000095,upper,yes,yes,49,87,5,1,0,1,0,1,1,1
no,62,male,more,0.588568687,4.199999809,upper,yes,yes,182,282,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.400000095,upper,yes,yes,160,292,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.5,upper,yes,yes,79,130,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.300000191,upper,yes,yes,176,285,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.599999905,upper,yes,yes,155,272,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.800000191,upper,yes,yes,166,286,6,0,0,0,0,1,1,1
no,62,male,more,0.588568687,4.300000191,upper,yes,yes,186,302,6,1,0,0,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,33,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,29,34,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,4,upper,yes,yes,37,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,3.900000095,upper,yes,yes,29,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.126001,3.299999952,upper,yes,yes,28,34,7,1,0,1,0,1,1,1
no,51,female,more,-0.258189887,3.400000095,upper,yes,yes,25,41,8,0,0,1,0,1,1,1
no,51,female,more,-0.258189887,4.5,upper,yes,yes,21,22,8,0,0,1,0,1,1,1
no,51,female,more,-0.258189887,4.5,upper,yes,yes,13,21,8,0,0,1,0,1,1,1
no,51,female,more,-0.258189887,4.5,upper,yes,yes,16,17,8,0,0,1,0,1,1,1
no,51,female,more,-0.258189887,2.5,lower,yes,yes,24,30,8,0,0,1,0,0,1,1
no,51,female,more,-0.258189887,4.300000191,upper,yes,yes,23,23,8,0,0,1,0,1,1,1
no,51,female,more,-0.258189887,4.5,upper,yes,yes,20,20,8,1,0,1,0,1,1,1
no,33,female,more,0.149692595,4.5,upper,yes,yes,48,60,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,4.699999809,upper,yes,yes,29,33,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,3.5,upper,yes,yes,11,44,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,4.5,upper,yes,yes,29,49,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,3.799999952,upper,yes,yes,25,29,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,4.5,upper,yes,yes,42,48,9,0,0,1,0,1,1,1
no,33,female,more,0.149692595,4.300000191,upper,yes,yes,34,40,9,1,0,1,0,1,1,1
no,47,male,more,0.540916979,3.900000095,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,3.900000095,upper,yes,no,12,16,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,4.300000191,upper,yes,no,14,15,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,4.199999809,upper,yes,no,22,23,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,5,lower,yes,no,10,11,10,0,0,0,0,0,1,0
no,47,male,more,0.540916979,5,lower,yes,no,17,29,10,0,0,0,0,0,1,0
no,47,male,more,0.540916979,4.599999905,upper,yes,no,16,21,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,5,lower,yes,no,15,18,10,0,0,0,0,0,1,0
no,47,male,more,0.540916979,4.699999809,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,0.540916979,5,lower,yes,no,16,20,10,1,0,0,0,0,1,0
yes,35,male,more,0.231613398,3.099999905,upper,no,yes,18,25,11,0,1,0,0,1,0,1
yes,35,male,more,0.231613398,2.700000048,upper,no,yes,30,33,11,0,1,0,0,1,0,1
yes,35,male,more,0.231613398,4,upper,no,yes,23,24,11,1,1,0,0,1,0,1
no,37,male,more,-0.066673703,4,upper,yes,no,30,34,12,0,0,0,0,1,1,0
no,37,male,more,-0.066673703,4.400000095,upper,yes,no,13,21,12,0,0,0,0,1,1,0
no,37,male,more,-0.066673703,4.400000095,upper,yes,no,24,30,12,0,0,0,0,1,1,0
no,37,male,more,-0.066673703,4.300000191,upper,yes,no,24,25,12,0,0,0,0,1,1,0
no,37,male,more,-0.066673703,3.5,upper,yes,no,25,35,12,1,0,0,0,1,1,0
no,42,male,more,0.216892406,3.799999952,upper,yes,yes,28,40,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,3.799999952,upper,yes,yes,18,30,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,3.900000095,upper,yes,yes,28,42,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,3.700000048,upper,yes,yes,25,57,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,3.299999952,upper,yes,yes,40,57,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,4,upper,yes,yes,40,51,13,0,0,0,0,1,1,1
no,42,male,more,0.216892406,3.799999952,upper,yes,yes,18,30,13,1,0,0,0,1,1,1
no,49,male,more,-0.258696198,3.400000095,upper,no,yes,30,36,14,0,0,0,0,1,0,1
no,49,male,more,-0.258696198,4.199999809,upper,no,yes,31,37,14,0,0,0,0,1,0,1
no,49,male,more,-0.258696198,3.099999905,upper,no,yes,15,29,14,0,0,0,0,1,0,1
no,49,male,more,-0.258696198,3.599999905,upper,no,yes,23,27,14,1,0,0,0,1,0,1
no,37,female,more,0.550287783,2.900000095,upper,yes,yes,23,28,15,0,0,1,0,1,1,1
no,37,female,more,0.550287783,3.299999952,upper,yes,yes,34,52,15,0,0,1,0,1,1,1
no,37,female,more,0.550287783,2.900000095,upper,yes,yes,21,26,15,0,0,1,0,1,1,1
no,37,female,more,0.550287783,3.099999905,upper,yes,yes,29,30,15,1,0,1,0,1,1,1
no,45,male,more,-0.062035799,4.5,upper,yes,yes,23,33,16,0,0,0,0,1,1,1
no,45,male,more,-0.062035799,4,lower,yes,yes,45,177,16,0,0,0,0,0,1,1
no,45,male,more,-0.062035799,4,lower,yes,yes,90,199,16,0,0,0,0,0,1,1
no,45,male,more,-0.062035799,4.199999809,upper,yes,yes,27,32,16,0,0,0,0,1,1,1
no,45,male,more,-0.062035799,3.799999952,upper,yes,yes,35,37,16,0,0,0,0,1,1,1
no,45,male,more,-0.062035799,4.300000191,lower,yes,yes,120,161,16,1,0,0,0,0,1,1
no,56,female,more,-0.982385218,4,upper,yes,no,27,41,17,0,0,1,0,1,1,0
no,56,female,more,-0.982385218,4.599999905,upper,yes,no,39,44,17,0,0,1,0,1,1,0
no,56,female,more,-0.982385218,4.300000191,upper,yes,no,35,53,17,0,0,1,0,1,1,0
no,56,female,more,-0.982385218,3.599999905,upper,yes,no,34,49,17,0,0,1,0,1,1,0
no,56,female,more,-0.982385218,4.199999809,upper,yes,no,27,32,17,1,0,1,0,1,1,0
no,48,male,more,-0.054343998,3.799999952,lower,yes,no,100,135,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998,3.900000095,upper,yes,no,20,33,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998,4.099999905,upper,yes,no,14,19,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998,4,lower,yes,no,65,111,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998,4.300000191,lower,yes,no,95,149,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998,3.900000095,upper,yes,no,18,27,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998,4.199999809,lower,yes,no,85,136,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998,4.199999809,lower,yes,no,113,140,18,1,0,0,0,0,1,0
no,46,female,more,-0.068014301,4.300000191,upper,yes,yes,25,31,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,4.900000095,lower,yes,yes,14,15,19,0,0,1,0,0,1,1
no,46,female,more,-0.068014301,4,upper,yes,yes,23,29,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,4.300000191,upper,yes,yes,23,25,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,4.900000095,upper,yes,yes,9,18,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,3.900000095,upper,yes,yes,30,45,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,4.900000095,lower,yes,yes,15,15,19,0,0,1,0,0,1,1
no,46,female,more,-0.068014301,3.900000095,upper,yes,yes,31,38,19,0,0,1,0,1,1,1
no,46,female,more,-0.068014301,4,lower,yes,yes,12,15,19,1,0,1,0,0,1,1
no,57,female,more,0.0294137,3.400000095,upper,yes,no,17,28,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.5,upper,yes,no,10,23,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.900000095,upper,yes,no,15,19,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,4,upper,yes,no,7,23,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.599999905,upper,yes,no,7,22,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3,upper,yes,no,14,20,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3,upper,yes,no,8,19,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.599999905,upper,yes,no,17,23,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.599999905,upper,yes,no,10,22,20,0,0,1,0,1,1,0
no,57,female,more,0.0294137,3.200000048,upper,yes,no,12,15,20,1,0,1,0,1,1,0
no,52,female,more,0.239485905,3.400000095,upper,yes,no,19,22,21,0,0,1,0,1,1,0
no,52,female,more,0.239485905,3.900000095,upper,yes,no,27,31,21,0,0,1,0,1,1,0
no,52,female,more,0.239485905,3.5,upper,yes,no,20,21,21,0,0,1,0,1,1,0
no,52,female,more,0.239485905,3.5,upper,yes,no,31,36,21,0,0,1,0,1,1,0
no,52,female,single,0.239485905,3.099999905,upper,yes,no,17,19,21,0,0,1,1,1,1,0
no,52,female,more,0.239485905,4.199999809,upper,yes,no,23,37,21,1,0,1,0,1,1,0
no,62,male,more,-0.733091414,4.300000191,upper,yes,yes,30,39,23,0,0,0,0,1,1,1
no,62,male,more,-0.733091414,3.599999905,lower,yes,yes,94,184,23,0,0,0,0,0,1,1
no,62,male,more,-0.733091414,4.5,upper,yes,yes,46,50,23,0,0,0,0,1,1,1
no,62,male,more,-0.733091414,3.700000048,lower,yes,yes,80,157,23,0,0,0,0,0,1,1
no,62,male,more,-0.733091414,3.400000095,lower,yes,yes,61,164,23,1,0,0,0,0,1,1
no,64,male,more,-0.111122102,4.400000095,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.5,upper,yes,yes,51,68,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.599999905,upper,yes,yes,22,47,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.800000191,upper,yes,yes,10,14,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.5,upper,yes,yes,11,15,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.400000095,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-0.111122102,4.099999905,upper,yes,yes,21,39,24,1,0,0,0,1,1,1
no,34,female,more,1.775516987,4.599999905,upper,yes,yes,20,26,25,0,0,1,0,1,1,1
no,34,female,more,1.775516987,3.900000095,upper,yes,yes,33,40,25,1,0,1,0,1,1,1
no,58,male,more,-0.321848512,4.199999809,upper,yes,yes,84,159,26,0,0,0,0,1,1,1
no,58,male,more,-0.321848512,4.300000191,upper,yes,yes,71,151,26,0,0,0,0,1,1,1
no,58,male,more,-0.321848512,3.5,lower,yes,yes,36,47,26,0,0,0,0,0,1,1
no,58,male,more,-0.321848512,4,upper,yes,yes,73,122,26,0,0,0,0,1,1,1
no,58,male,more,-0.321848512,4,lower,yes,yes,31,45,26,1,0,0,0,0,1,1
yes,52,male,more,0.211693898,4,upper,no,yes,13,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,4.599999905,upper,no,yes,23,23,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,4.599999905,upper,no,yes,12,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,3.700000048,upper,no,yes,15,18,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,3.5,upper,no,yes,11,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,3.599999905,upper,no,yes,12,15,27,0,1,0,0,1,0,1
yes,52,male,more,0.211693898,3.900000095,upper,no,yes,18,28,27,1,1,0,0,1,0,1
no,73,male,more,-0.717644989,3.299999952,upper,yes,yes,12,17,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989,4.199999809,upper,yes,yes,10,13,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989,3.200000048,upper,yes,yes,16,21,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989,4.900000095,upper,yes,yes,13,17,28,1,0,0,0,1,1,1
no,70,male,more,-0.732692719,4.400000095,upper,yes,yes,47,134,29,0,0,0,0,1,1,1
no,70,male,more,-0.732692719,4,upper,yes,yes,5,48,29,0,0,0,0,1,1,1
no,70,male,more,-0.732692719,3.5,upper,yes,yes,34,64,29,0,0,0,0,1,1,1
no,70,male,more,-0.732692719,3.400000095,upper,yes,yes,24,69,29,1,0,0,0,1,1,1
no,63,male,more,-0.0102077,3.5,upper,yes,no,28,43,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,4.199999809,upper,yes,no,11,14,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,3.5,upper,yes,no,10,15,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,4.400000095,upper,yes,no,14,18,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,3.700000048,upper,yes,no,12,16,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,3.400000095,upper,yes,no,8,10,31,0,0,0,0,1,1,0
no,63,male,more,-0.0102077,3,upper,yes,no,23,47,31,1,0,0,0,1,1,0
no,47,male,more,-0.92395699,4.699999809,upper,yes,yes,10,15,32,0,0,0,0,1,1,1
no,47,male,more,-0.92395699,3.900000095,upper,yes,yes,10,14,32,0,0,0,0,1,1,1
no,47,male,more,-0.92395699,2.799999952,upper,yes,yes,10,12,32,1,0,0,0,1,1,1
no,39,male,more,0.576680481,3.900000095,lower,yes,yes,86,246,33,0,0,0,0,0,1,1
no,39,male,more,0.576680481,3.700000048,lower,yes,yes,154,316,33,0,0,0,0,0,1,1
no,39,male,more,0.576680481,4.599999905,upper,yes,yes,12,15,33,0,0,0,0,1,1,1
no,39,male,more,0.576680481,4.199999809,upper,yes,yes,14,15,33,0,0,0,0,1,1,1
no,39,male,more,0.576680481,4.400000095,upper,yes,yes,27,29,33,1,0,0,0,1,1,1
yes,47,female,more,-0.083601497,4,lower,yes,yes,21,21,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,3.799999952,upper,yes,yes,8,8,34,0,1,1,0,1,1,1
yes,47,female,single,-0.083601497,4.099999905,lower,yes,yes,16,16,34,0,1,1,1,0,1,1
yes,47,female,more,-0.083601497,3.700000048,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,4.099999905,upper,yes,yes,7,10,34,0,1,1,0,1,1,1
yes,47,female,more,-0.083601497,3,lower,yes,yes,25,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,3.200000048,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,2.799999952,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,single,-0.083601497,4.699999809,lower,yes,yes,20,21,34,0,1,1,1,0,1,1
yes,47,female,more,-0.083601497,4.199999809,lower,yes,yes,12,12,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,3.200000048,lower,yes,yes,25,27,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,3.099999905,lower,yes,yes,26,27,34,0,1,1,0,0,1,1
yes,47,female,more,-0.083601497,4,lower,yes,yes,24,25,34,1,1,1,0,0,1,1
no,54,male,more,-1.079558015,4.300000191,upper,yes,yes,15,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.079558015,4.199999809,upper,yes,yes,10,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.079558015,4.300000191,upper,yes,yes,16,17,35,1,0,0,0,1,1,1
yes,44,female,more,1.040902019,3.799999952,upper,yes,yes,30,55,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902019,3.299999952,upper,yes,yes,35,48,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902019,4.099999905,upper,yes,yes,21,21,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902019,3.700000048,upper,yes,yes,35,39,36,1,1,1,0,1,1,1
yes,47,male,more,-1.052108049,3.799999952,upper,yes,yes,20,27,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.299999952,upper,yes,yes,9,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.799999952,upper,yes,yes,21,26,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.400000095,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,4.199999809,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.799999952,upper,yes,yes,12,13,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.5,upper,yes,yes,14,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.052108049,3.299999952,upper,yes,yes,15,17,37,1,1,0,0,1,1,1
no,62,male,more,-0.727768123,4,upper,yes,yes,12,13,38,0,0,0,0,1,1,1
no,62,male,more,-0.727768123,4.300000191,upper,yes,yes,13,15,38,0,0,0,0,1,1,1
no,62,male,more,-0.727768123,4.099999905,upper,yes,yes,7,10,38,1,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.599999905,upper,yes,yes,25,34,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.5,upper,yes,yes,12,16,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.5,upper,yes,yes,11,14,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.599999905,upper,yes,yes,8,12,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.400000095,upper,yes,yes,24,39,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.099999905,upper,yes,yes,15,35,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.5,upper,yes,yes,31,45,39,0,0,0,0,1,1,1
no,60,male,more,-0.395396501,4.300000191,lower,yes,yes,36,45,39,1,0,0,0,0,1,1
no,42,male,more,-0.237778604,4.699999809,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.237778604,4.400000095,upper,yes,yes,14,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.237778604,4.900000095,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.237778604,4.699999809,upper,yes,yes,12,12,41,0,0,0,0,1,1,1
no,42,male,more,-0.237778604,4.599999905,upper,yes,yes,13,15,41,1,0,0,0,1,1,1
no,35,male,more,0.274908006,4.199999809,upper,yes,yes,42,51,42,0,0,0,0,1,1,1
no,35,male,more,0.274908006,4.800000191,lower,yes,yes,21,23,42,0,0,0,0,0,1,1
no,35,male,more,0.274908006,4.199999809,upper,yes,yes,49,57,42,0,0,0,0,1,1,1
no,35,male,more,0.274908006,4.599999905,lower,yes,yes,44,50,42,1,0,0,0,0,1,1
no,39,female,more,1.970023036,3.400000095,lower,yes,no,22,24,43,0,0,1,0,0,1,0
no,39,female,more,1.970023036,4.699999809,upper,yes,no,18,23,43,0,0,1,0,1,1,0
no,39,female,more,1.970023036,4.599999905,upper,yes,no,20,23,43,0,0,1,0,1,1,0
no,39,female,more,1.970023036,3.599999905,lower,yes,no,27,28,43,1,0,1,0,0,1,0
no,49,male,more,1.05095005,3.900000095,upper,yes,yes,28,45,44,0,0,0,0,1,1,1
no,49,male,more,1.05095005,3.900000095,upper,yes,yes,27,42,44,0,0,0,0,1,1,1
no,49,male,more,1.05095005,4,upper,yes,yes,49,57,44,1,0,0,0,1,1,1
no,61,male,more,0.241818503,4.5,lower,yes,yes,22,27,45,0,0,0,0,0,1,1
